Obs.Number,ID,Date,Rank,Age,Srv.Branch,Major.Cause.of.Death,Minor.Cause.of.Death,Where,Hometown,State,Country,Julian
1,1,3/21/2003,2nd Lieutenant,30,U.S. Marine,Hostile,hostile fire,Southern Iraq,Harrison Co.,Mississippi,US,15785
2,14,3/21/2003,Lance Corporal,22,U.S. Marine,Hostile,friendly fire,Um Qasr,Guatemala City,Guatemala,US,15785
3,13,3/21/2003,Major,34,Royal Navy,Hostile,helicopter crash,Um Qasr,Plymouth,England,UK,15785
4,12,3/21/2003,Warrant Off. 2nd Class,39,Royal Navy,Hostile,helicopter crash,Um Qasr,Plymouth,England,UK,15785
5,11,3/21/2003,Oper. Mech. 2nd Class,28,British Army,Hostile,helicopter crash,Um Qasr,Poole,England,UK,15785
6,10,3/21/2003,Sergeant,34,British Army,Hostile,helicopter crash,Um Qasr,Poole,England,UK,15785
7,9,3/21/2003,Royal Navy Marine,26,Royal Navy,Hostile,helicopter crash,Um Qasr,Pretoria,South Africa,UK,15785
8,8,3/21/2003,Captain,29,Royal Navy,Hostile,helicopter crash,Um Qasr,N. Yorkshire,England,UK,15785
9,7,3/21/2003,Lance Bombardier,24,British Army,Hostile,helicopter crash,Um Qasr,Llandudno,Wales,UK,15785
10,6,3/21/2003,Colour Sergeant,36,Royal Navy,Hostile,helicopter crash,Um Qasr,Plymouth,England,UK,15785
11,5,3/21/2003,Staff Sergeant,29,U.S. Marine,Hostile,helicopter crash,Um Qasr,Baltimore,Maryland,US,15785
12,4,3/21/2003,Corporal,25,U.S. Marine,Hostile,helicopter crash,Um Qasr,Houston,Texas,US,15785
13,3,3/21/2003,Captain,30,U.S. Marine,Hostile,helicopter crash,Um Qasr,Bloomington,Illinois,US,15785
14,2,3/21/2003,Major,36,U.S. Marine,Hostile,helicopter crash,Um Qasr,Waterville,Maine,US,15785
15,21,3/22/2003,Lance Corporal,26,U.S. Marine,Non-hostile,weapon discharge (accid.),Jalibah,Buffalo,New York,US,15786
16,23,3/22/2003,Lieutenant,27,U.S. Navy,Hostile,helicopter crash,Persian Gulf,La Mesa,California,US,15786
17,20,3/22/2003,Lieutenant,36,Royal Navy,Hostile,helicopter crash,Persian Gulf,NA,England,UK,15786
18,19,3/22/2003,Lieutenant,28,Royal Navy,Hostile,helicopter crash,Persian Gulf,Falmouth,England,UK,15786
19,18,3/22/2003,Lieutenant,32,Royal Navy,Hostile,helicopter crash,Persian Gulf,Budock Water,England,UK,15786
20,17,3/22/2003,Lieutenant,26,Royal Navy,Hostile,helicopter crash,Persian Gulf,NA,England,UK,15786
21,16,3/22/2003,Lieutenant,35,Royal Navy,Hostile,helicopter crash,Persian Gulf,Helston,England,UK,15786
22,15,3/22/2003,Lieutenant,31,Royal Navy,Hostile,helicopter crash,Persian Gulf,NA,England,UK,15786
23,22,3/22/2003,Specialist,19,U.S. Army Reserve,Non-hostile,vehicle accident,Southern Iraq,Portland,Oregon,US,15786
24,57,3/23/2003,Staff Sergeant,36,British Army,Hostile,hostile fire,Al Zubayr,Essex,England,UK,15787
25,56,3/23/2003,Sapper,24,British Army,Hostile,hostile fire,Al Zubayr,North London,England,UK,15787
26,53,3/23/2003,Private,19,U.S. Marine,Hostile,friendly fire,An Nasiriyah,Boiling Springs,South Carolina,US,15787
27,55,3/23/2003,Corporal,22,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Waterford,Connecticut,US,15787
28,54,3/23/2003,Private,30,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Macon,Illinois,US,15787
29,52,3/23/2003,Lance Corporal,21,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Sparks,Nevada,US,15787
30,51,3/23/2003,Private 1st Class,21,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Buffalo,New York,US,15787
31,50,3/23/2003,Sergeant,23,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Casper,Wyoming,US,15787
32,49,3/23/2003,Lance Corporal,21,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Nashville,Tennessee,US,15787
33,48,3/23/2003,Lance Corporal,31,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Yuma,Arizona,US,15787
34,47,3/23/2003,Corporal,21,U.S. Marine,Hostile,hostile fire,An Nasiriyah,San Diego,California,US,15787
35,46,3/23/2003,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Cedar Key,Florida,US,15787
36,45,3/23/2003,Lance Corporal,22,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Adams,Colorado,US,15787
37,44,3/23/2003,Staff Sergeant,42,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Brazoria,Texas,US,15787
38,43,3/23/2003,Corporal,20,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Los Angeles,California,US,15787
39,42,3/23/2003,Corporal,21,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Orange,California,US,15787
40,41,3/23/2003,Lance Corporal,26,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Lee,Florida,US,15787
41,40,3/23/2003,Sergeant,31,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Ventura,California,US,15787
42,29,3/23/2003,2nd Lieutenant,31,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Nye,Nevada,US,15787
43,39,3/23/2003,Specialist,24,U.S. Army,Hostile,hostile fire - ambush,An Nasiriyah,Brownsville,Texas,US,15787
44,38,3/23/2003,Sergeant,33,U.S. Army,Hostile,hostile fire - ambush,An Nasiriyah,Kansas City,Missouri,US,15787
45,37,3/23/2003,Private,19,U.S. Army,Hostile,hostile fire - ambush,An Nasiriyah,Cleveland,Ohio,US,15787
46,36,3/23/2003,Private 1st Class,23,U.S. Army,Hostile,hostile fire - ambush,An Nasiriyah,Tuba City,Arizona,US,15787
47,35,3/23/2003,Chief Warrant Officer,35,U.S. Army,Hostile,hostile fire - ambush,An Nasiriyah,Amarillo,Texas,US,15787
48,34,3/23/2003,Specialist,22,U.S. Army,Hostile,hostile fire - ambush,An Nasiriyah,Comfort,Texas,US,15787
49,33,3/23/2003,Private 1st Class,21,U.S. Army,Hostile,hostile fire - ambush,An Nasiriyah,Mobile,Alabama,US,15787
50,32,3/23/2003,Private,18,U.S. Army,Hostile,hostile fire - ambush,An Nasiriyah,El Paso,Texas,US,15787
51,31,3/23/2003,Master Sergeant,38,U.S. Army,Hostile,hostile fire - ambush,An Nasiriyah,Cleveland,Ohio,US,15787
52,30,3/23/2003,Sergeant,31,U.S. Army,Hostile,hostile fire - ambush,An Nasiriyah,Barnwell,South Carolina,US,15787
53,28,3/23/2003,Specialist,22,U.S. Army,Hostile,hostile fire - ambush,An Nasiriyah,Roswell,Georgia,US,15787
54,27,3/23/2003,Captain,27,U.S. Army,Non-hostile,homicide,Kuweit,Easton,Pennsylvania,US,15787
55,25,3/23/2003,"Flight Lieut., Navigator",37,Royal Air Force,Hostile,friendly fire - jet crash,Southern Iraq,Crickhowell,Wales,UK,15787
56,24,3/23/2003,"Flight Lieutenant., Pilot",35,Royal Air Force,Hostile,friendly fire - jet crash,Southern Iraq, ,England,UK,15787
57,26,3/23/2003,Sergeant,22,U.S. Marine,Hostile,vehicle accident,Southern Iraq,Smithville,Missouri,US,15787
58,58,3/24/2003,Sergeant,33,British Army,Hostile,friendly fire,Al Zubayr,Cornwall,England,UK,15788
59,59,3/24/2003,Lance Corporal,31,British Army,Hostile,hostile fire,Al Zubayr,Scone,Scotland,UK,15788
60,63,3/24/2003,Lance Corporal,24,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Wagoner,Oklahoma,US,15788
61,62,3/24/2003,Specialist,19,U.S. Army,Hostile,hostile fire - sniper fire,Balad,Hobart,Indiana,US,15788
62,61,3/24/2003,Sergeant,28,U.S. Marine,Hostile,drowning,Saddam Canal,Scott,Iowa,US,15788
63,60,3/24/2003,Corporal,20,U.S. Marine,Hostile,drowning,Saddam Canal,Hancock,Illinois,US,15788
64,65,3/25/2003,Trooper,19,British Army,Hostile,friendly fire,Basra,Littleworth,England,UK,15789
65,64,3/25/2003,Corporal,35,British Army,Hostile,friendly fire,Basra,Stoke-on-Trent,England,UK,15789
66,66,3/25/2003,Major,40,U.S. Air National Guard,Non-hostile,homicide,Kuweit,Boise,Idaho,US,15789
67,67,3/25/2003,Hospital Corpsman 3rd Cl.,25,U.S. Navy,Hostile,hostile fire,Not reported,Little Rock,Arkansas,US,15789
68,68,3/26/2003,Major,36,U.S. Marine,Hostile,vehicle accident,Southern Iraq,Union Lake,Michigan,US,15790
69,72,3/27/2003,Corporal,21,U.S. Marine,Hostile,vehicle accident,An Nasiriyah,Queens,New York,US,15791
70,71,3/27/2003,Private 1st Class,21,U.S. Marine,Hostile,vehicle accident,An Nasiriyah,Los Angeles,California,US,15791
71,70,3/27/2003,Lance Corporal,20,U.S. Marine,Hostile,vehicle accident,An Nasiriyah,Sonoma,California,US,15791
72,69,3/27/2003,Staff Sergeant,31,U.S. Marine,Hostile,vehicle accident,An Nasiriyah,Richmond,Virginia,US,15791
73,74,3/27/2003,Lance Corporal,20,U.S. Marine,Hostile,friendly fire - cluster bomblet,Baghdad,Escondido,California,US,15791
74,73,3/27/2003,Gunnery Sergeant,33,U.S. Marine,Hostile,hostile fire,Not reported,San Jose,California,US,15791
75,76,3/28/2003,Sergeant,26,U.S. Marine,Hostile,hostile fire,An Nasiriyah,San Luis,Arizona,US,15792
76,77,3/28/2003,Sergeant,32,U.S. Army,Non-hostile,vehicle accident,Central part,Fayetteville,North Carolina,US,15792
77,75,3/28/2003,Lance Corporal of Horse,25,British Army,Hostile,friendly fire,Southern Iraq,Berkshire,England,UK,15792
78,82,3/29/2003,Sergeant,24,U.S. Army,Hostile,hostile fire - suicide bomber,Najaf,Highland,New York,US,15793
79,81,3/29/2003,Private 1st Class,19,U.S. Army,Hostile,hostile fire - suicide bomber,Najaf,Conyers,Georgia,US,15793
80,80,3/29/2003,Corporal,23,U.S. Army,Hostile,hostile fire - suicide bomber,Najaf,Howell,New Jersey,US,15793
81,79,3/29/2003,Private 1st Class,20,U.S. Army,Hostile,hostile fire - suicide bomber,Najaf,Palm Bay,Florida,US,15793
82,78,3/29/2003,Staff Sergeant,41,U.S. Marine Reserve,Hostile,vehicle accident,Not reported,Roy,Utah,US,15793
83,83,3/29/2003,Lance Corporal,24,U.S. Marine,Non-hostile,vehicle accident,South-central Iraq,Brooklyn,New York,US,15793
84,86,3/30/2003,Royal Navy Marine,24,Royal Navy,Hostile,hostile fire,Basra,Scarborough,England,UK,15794
85,89,3/30/2003,Captain,31,U.S. Marine,Hostile,helicopter crash,Jalibah,Sherwood,Oregon,US,15794
86,88,3/30/2003,Sergeant,23,U.S. Marine,Hostile,helicopter crash,Jalibah,St. George,Delaware,US,15794
87,87,3/30/2003,Sergeant,23,U.S. Marine,Hostile,helicopter crash,Jalibah,Troutville,Virginia,US,15794
88,84,3/30/2003,Major,NA,Royal Navy,Non-hostile,natural causes,Not reported,Not reported,England,UK,15794
89,85,3/30/2003,Lance Corporal,28,British Army,Non-hostile,vehicle accident,Not reported,W. Yorkshire,England,UK,15794
90,92,3/31/2003,Specialist,20,U.S. Army,Hostile,hostile fire,Ayyub,Roscoe,Illinois,US,15795
91,91,3/31/2003,Specialist,39,U.S. Army National Guard,Non-hostile,illness - acute pancreatitis,Rota,Evansville,Indiana,US,15795
92,90,3/31/2003,Staff Sergeant,32,British Army,Non-hostile,ordnance accident,Southern Iraq,Romsey,England,UK,15795
93,94,4/1/2003,Sergeant,24,U.S. Army,Hostile,hostile fire - RPG attack,As Samawah,Wellsville,Kansas,US,15796
94,95,4/1/2003,Lance Corporal,22,U.S. Marine,Non-hostile,weapon discharge,Kuweit,Lansdale,Pennsylvania,US,15796
95,93,4/1/2003,Lance Corporal,24,British Army,Non-hostile,vehicle accident,Not reported,Not reported,England,UK,15796
96,97,4/2/2003,Private 1st Class,19,U.S. Marine,Non-hostile,weapon discharge (accid.),Al Kut,Ohio City,Ohio,US,15797
97,96,4/2/2003,Lance Corporal,26,U.S. Marine,Non-hostile,electrocution,An Nasiriyah,Durham,North Carolina,US,15797
98,99,4/2/2003,Lieutenant,30,U.S. Navy,Hostile,friendly fire - jet crash,Baghdad,Mesa,Arizona,US,15797
99,105,4/2/2003,Specialist,22,U.S. Army,Non-hostile,helicopter crash,Karbala,Dracut,Massachusetts,US,15797
100,104,4/2/2003,Chief Warrant Officer (CW3),41,U.S. Army,Non-hostile,helicopter crash,Karbala,Rochester,New York,US,15797
101,103,4/2/2003,Sergeant,26,U.S. Army,Non-hostile,helicopter crash,Karbala,Flint,Michigan,US,15797
102,102,4/2/2003,Chief Warrant Officer (CW2),32,U.S. Army,Non-hostile,helicopter crash,Karbala,Granbury,Texas,US,15797
103,101,4/2/2003,Chief Warrant Officer (CW4),40,U.S. Army,Non-hostile,helicopter crash,Karbala,Bennington,Vermont,US,15797
104,100,4/2/2003,Captain,29,U.S. Army,Non-hostile,helicopter crash,Karbala,Springfield,Virginia,US,15797
105,98,4/2/2003,Master Sergeant,36,U.S. Army,Hostile,hostile fire,Northern Iraqt,El Paso,Texas,US,15797
106,112,4/3/2003,Captain,27,U.S. Army,Hostile,hostile fire - suicide bomber,Al Anbar Province,Avarda,Colorado,US,15798
107,111,4/3/2003,Specialist,21,U.S. Army,Hostile,hostile fire - suicide bomber,Al Anbar Province,Seaford,Delaware,US,15798
108,110,4/3/2003,Staff Sergeant,23,U.S. Army,Hostile,hostile fire - suicide bomber,Al Anbar Province,Syracuse,Utah,US,15798
109,113,4/3/2003,Corporal,21,U.S. Marine,Hostile,hostile fire,Al Kut,Burlington,Vermont,US,15798
110,106,4/3/2003,Private 1st Class,20,U.S. Marine,Non-hostile,vehicle accident,Ash Shahin,Coahoma,Texas,US,15798
111,109,4/3/2003,Sergeant,33,U.S. Army,Hostile,friendly fire,Baghdad,Pentwater,Michigan,US,15798
112,108,4/3/2003,Sergeant 1st Class,36,U.S. Army,Hostile,friendly fire,Baghdad,Longmont,Colorado,US,15798
113,107,4/3/2003,Sergeant,20,U.S. Army,Hostile,friendly fire,Baghdad,Erie,Pennsylvania,US,15798
114,114,4/3/2003,Corporal,22,U.S. Marine,Hostile,hostile fire - ambush,Baghdad,Chula Vista,California,US,15798
115,115,4/3/2003,Staff Sergeant,40,U.S. Army,Hostile,vehicle accident,Baghdad,Tampa,Florida,US,15798
116,116,4/3/2003,Captain,31,U.S. Army,Hostile,friendly fire,Central part,Savannah,Georgia,US,15798
117,118,4/4/2003,Captain,29,U.S. Marine,Hostile,helicopter crash,Ali Aziziyal,Rehobeth,Massachusetts,US,15799
118,117,4/4/2003,Captain,30,U.S. Marine,Hostile,helicopter crash,Ali Aziziyal,Ogallala,Nebraska,US,15799
119,123,4/4/2003,Sergeant 1st Class,33,U.S. Army,Hostile,hostile fire,Baghdad,Tampa,Florida,US,15799
120,119,4/4/2003,Captain,31,U.S. Army,Hostile,hostile fire - ambush,Baghdad,State College,Pennsylvania,US,15799
121,125,4/4/2003,1st Lieutenant,25,U.S. Marine,Hostile,hostile fire - small arms fire,Baghdad,Pembroke,Massachusetts,US,15799
122,124,4/4/2003,Corporal,22,U.S. Marine,Hostile,hostile fire - small arms fire,Baghdad,Mt. Vernon,New York,US,15799
123,126,4/4/2003,Sergeant,25,U.S. Marine,Hostile,hostile fire - small arms fire,Central part,Hammond,Indiana,US,15799
124,122,4/4/2003,Private,19,U.S. Army,Hostile,vehicle accident,Not reported,San Diego,California,US,15799
125,121,4/4/2003,Specialist,33,U.S. Army,Hostile,vehicle accident,Not reported,Lewiston,Maine,US,15799
126,120,4/4/2003,Private 1st Class,20,U.S. Army,Hostile,vehicle accident,Not reported,Lake Charles,Louisiana,US,15799
127,127,4/5/2003,Staff Sergeant,34,U.S. Army,Hostile,hostile fire,Baghdad,Apollo,Pennsylvania,US,15800
128,129,4/5/2003,1st Sergeant,38,U.S. Marine,Hostile,hostile fire,Doha,Chicago,Illinois,US,15800
129,128,4/5/2003,Specialist,22,U.S. Army,Hostile,hostile fire,Not reported,Jackson,Mississippi,US,15800
130,134,4/6/2003,Private,24,U.S. Army,Hostile,hostile fire,Baghdad,Birmingham,Alabama,US,15801
131,133,4/6/2003,Private 1st Class,19,U.S. Army,Hostile,hostile fire,Baghdad,Forestport,New York,US,15801
132,132,4/6/2003,Fusilier,18,British Army,Hostile,hostile fire,Basra,Haslingfield,England,UK,15801
133,131,4/6/2003,Piper,21,British Army,Hostile,hostile fire - sniper fire,Basra,Gweru,Zimbabwe,UK,15801
134,130,4/6/2003,Lance Corporal,28,British Army,Hostile,hostile fire - sniper fire,Basra,Ballyfermot,Ireland,UK,15801
135,138,4/7/2003,2nd Lieutenant,24,U.S. Army,Hostile,hostile fire - grenade,Baghdad,Clifton,Virginia,US,15802
136,140,4/7/2003,Specialist,35,U.S. Army,Hostile,hostile fire - mortar attack,Baghdad,Rawlings,Maryland,US,15802
137,139,4/7/2003,Private 1st Class,19,U.S. Army,Hostile,hostile fire - mortar attack,Baghdad,San Antonio,Texas,US,15802
138,137,4/7/2003,Staff Sergeant,27,U.S. Army,Hostile,hostile fire - RPG attack,Baghdad,Malden,Illinois,US,15802
139,136,4/7/2003,Corporal,21,U.S. Marine,Hostile,hostile fire,Central part,Fort Worth,Texas,US,15802
140,135,4/7/2003,Lance Corporal,18,U.S. Marine,Hostile,hostile fire,Central part,Tampa,Florida,US,15802
141,142,4/7/2003,Captain,30,U.S. Air Force,Hostile,jet crash,Tikrit,Amarillo,Texas,US,15802
142,141,4/7/2003,Major,37,U.S. Air Force,Hostile,jet crash,Tikrit,Danville,Virginia,US,15802
143,143,4/8/2003,Corporal,22,U.S. Army,Hostile,hostile fire - rocket attack,Baghdad,Natchez,Mississippi,US,15803
144,147,4/8/2003,Staff Sergeant,36,U.S. Army,Hostile,hostile fire - RPG attack,Baghdad,Pendleton,Oregon,US,15803
145,145,4/8/2003,Sergeant 1st Class,50,U.S. Army,Hostile,hostile fire - RPG attack,Baghdad,Los Angeles,California,US,15803
146,144,4/8/2003,Private 1st Class,20,U.S. Marine,Hostile,hostile fire - sniper fire,Baghdad,Temperance,Michigan,US,15803
147,146,4/8/2003,Private 1st Class,23,U.S. Army,Hostile,hostile fire,Not reported,Swartz Creek,Michigan,US,15803
148,148,4/8/2003,Staff Sergeant,29,U.S. Air Force,Hostile,hostile fire,Southern Iraq,Clio,Michigan,US,15803
149,149,4/10/2003,Gunnery Sergeant,39,U.S. Marine,Hostile,hostile fire,Baghdad,Ossian,Iowa,US,15805
150,150,4/10/2003,Staff Sergeant,39,U.S. Army,Hostile,hostile fire - suicide bomber,Baghdad,Willingboro,New Jersey,US,15805
151,151,4/11/2003,Staff Sergeant,26,U.S. Marine,Hostile,hostile fire - ambush,Baghdad,New York,New York,US,15806
152,153,4/12/2003,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Baghdad,Winchester,Virginia,US,15807
153,152,4/12/2003,Corporal,22,U.S. Marine,Hostile,hostile fire,Baghdad,Indio,California,US,15807
154,154,4/13/2003,Specialist,25,U.S. Army,Non-hostile,weapon discharge,Baghdad,Paterson,New Jersey,US,15808
155,155,4/13/2003,Commander,46,U.S. Navy,Non-hostile,NA,Manama,Bronx,New York,US,15808
156,160,4/14/2003,Corporal,20,U.S. Marine,Hostile,friendly fire,Baghdad,Centreville,Maryland,US,15809
157,161,4/14/2003,Private 1st Class,21,U.S. Army,Non-hostile,ordnance accident,Baghdad,Troy,Alabama,US,15809
158,156,4/14/2003,Specialist,23,U.S. Army,Non-hostile,ordnance accident,Baghdad,Dresden,Tennessee,US,15809
159,157,4/14/2003,Private 1st Class,20,U.S. Army,Non-hostile,weapon discharge (accid.),Baghdad,Rock Springs,Wyoming,US,15809
160,158,4/14/2003,Corporal,25,U.S. Marine,Non-hostile,accident,Jalibah,Hileah,Florida,US,15809
161,159,4/14/2003,Specialist,32,U.S. Army National Guard,Non-hostile,vehicle accident,Not reported,Midland,Michigan,US,15809
162,162,4/17/2003,Corporal,23,U.S. Army National Guard,Non-hostile,vehicle accident,Tikrit,Tampa,Florida,US,15812
163,167,4/22/2003,Specialist,24,U.S. Army Reserve,Non-hostile,vehicle accident,Al Kut,Snow Camp,North Carolina,US,15817
164,166,4/22/2003,Lance Corporal,19,U.S. Marine,Non-hostile,weapon malfunction,Al Kut,Snow Camp,North Carolina,US,15817
165,165,4/22/2003,Chief Warrant Officer (CW2),36,U.S. Marine,Non-hostile,weapon malfunction,Al Kut,Tuscaloosa,Alabama,US,15817
166,164,4/22/2003,Chief Warrant Officer (CW2),30,U.S. Marine,Non-hostile,weapon malfunction,Al Kut,Spring,Texas,US,15817
167,163,4/22/2003,Lieutenant,25,British Army,Non-hostile,vehicle accident,Edinburgh,Hawick,Scotland,UK,15817
168,168,4/24/2003,Sergeant,25,U.S. Army,Hostile,hostile fire - bomb,Ramadi,Ridgecrest,California,US,15819
169,170,4/25/2003,Specialist,21,U.S. Army,Non-hostile,weapon discharge (accid.),Not reported,N. Brunswick,New Jersey,US,15820
170,169,4/25/2003,1st Lieutenant,26,U.S. Army,Hostile,vehicle accident,Tikrit,Delano,California,US,15820
171,171,4/28/2003,1st Sergeant,43,U.S. Army,Non-hostile,vehicle accident,Baghdad,Robstown,Texas,US,15823
172,172,4/30/2003,Lance Corporal,27,British Army,Non-hostile,ordnance accident?,Basra,Paisley,Scotland,UK,15825
173,173,5/1/2003,Private 1st Class,34,U.S. Army,Non-hostile,vehicle accident,Habbaniyah,Springfield,Missouri,US,15826
174,174,5/3/2003,Sergeant,25,U.S. Army,Non-hostile,weapon discharge (accid.),Kirkuk,E. Lansing,Michigan,US,15828
175,175,5/4/2003,Private,20,U.S. Army,Non-hostile,weapon discharge,Kuwait,Coeburn,Virginia,US,15829
176,176,5/6/2003,Private,18,British Army,Non-hostile,weapon discharge (accid.),Basra,Tavistock,England,UK,15831
177,178,5/8/2003,Private 1st Class,23,U.S. Army,Hostile,hostile fire - sniper fire,Baghdad,Hamilton,Ohio,US,15833
178,177,5/8/2003,Gunner,22,Royal Air Force,Non-hostile,vehicle accident,Not reported,Not reported,Not reported,UK,15833
179,182,5/9/2003,Chief Warrant Officer,39,U.S. Army,Non-hostile,helicopter crash,Samarra,Columbus,Ohio,US,15834
180,181,5/9/2003,Chief Warrant Officer,31,U.S. Army,Non-hostile,helicopter crash,Samarra,Lead,South Dakota,US,15834
181,180,5/9/2003,Corporal,26,U.S. Army,Non-hostile,helicopter crash,Samarra,King Hill,Idaho,US,15834
182,179,5/9/2003,Lance Corporal,22,U.S. Marine,Non-hostile,vehicle accident,Tac Assy Area Coyote,Vancouver,Washington,US,15834
183,183,5/10/2003,Lance Corporal,20,U.S. Marine,Non-hostile,vehicle accident,Not reported,Anderson,Indiana,US,15835
184,185,5/12/2003,Private 1st Class,19,U.S. Marine,Non-hostile,ordnance accident,Al Kut,Norwalk,California,US,15837
185,184,5/12/2003,Lance Corporal,21,U.S. Marine,Non-hostile,ordnance accident,Al Kut,Schaumburg,Illinois,US,15837
186,187,5/13/2003,Lance Corporal,19,U.S. Marine,Hostile,hostile fire,Al Hillah,Irvington,Illinois,US,15838
187,186,5/13/2003,Staff Sergeant,31,U.S. Air Force,Hostile,hostile fire,Diwaniyah,Elgin,South Carolina,US,15838
188,188,5/14/2003,Sergeant,22,U.S. Army,Non-hostile,vehicle accident,Irbil,Blackshear,Georgia,US,15839
189,189,5/16/2003,Master Sergeant,46,U.S. Army,Non-hostile,ordnance accident,Haswah,Otsego,Michigan,US,15841
190,191,5/18/2003,Specialist,22,U.S. Army,Non-hostile,weapon discharge (accid.),Balad,Brooklyn,New York,US,15843
191,190,5/18/2003,Corporal,28,U.S. Marine,Non-hostile,vehicle accident,Samarra,Chino,California,US,15843
192,197,5/19/2003,Sergeant,23,U.S. Marine,Non-hostile,drowning,Al Hillah,Beaver Dam,Wisconsin,US,15844
193,198,5/19/2003,Lance Corporal,21,U.S. Marine,Non-hostile,helicopter crash,Al Hillah,San Marcos,California,US,15844
194,196,5/19/2003,Staff Sergeant,27,U.S. Marine,Non-hostile,helicopter crash,Al Hillah,Shawnee,Oklahoma,US,15844
195,195,5/19/2003,1st Lieutenant,30,U.S. Marine,Non-hostile,helicopter crash,Al Hillah,Aurora,Illinois,US,15844
196,194,5/19/2003,Captain,31,U.S. Marine,Non-hostile,helicopter crash,Al Hillah,Eureka,California,US,15844
197,192,5/19/2003,Corporal,34,Royal Air Force,Non-hostile,natural causes,Not reported,Not reported,Not reported,UK,15844
198,193,5/19/2003,Lieutenant Colonel,42,U.S. Army,Non-hostile,vehicle accident,Safwan,Niles,Ohio,US,15844
199,199,5/21/2003,Specialist,27,U.S. Army,Non-hostile,vehicle accident,Ba  qubah,Omaha,Nebraska,US,15846
200,201,5/22/2003,Civilian,55,Civilian,Non-hostile,illness,Hospital,Not reported,England,UK,15847
201,200,5/22/2003,Sergeant Major,25,Czech Army,Non-hostile,vehicle accident,Prague,Brno,Not reported yet,CZ,15847
202,202,5/25/2003,Private,18,U.S. Army,Non-hostile,ordnance accident,Diwaniyah,Buffalo,New York,US,15850
203,207,5/26/2003,Major,36,U.S. Army,Hostile,hostile fire,Al Anbar Province,Brookfield,Wisconsin,US,15851
204,205,5/26/2003,Staff Sergeant,30,U.S. Army,Non-hostile,vehicle accident,As Samawah,Mundy Township,Michigan,US,15851
205,204,5/26/2003,Private,19,U.S. Army,Non-hostile,vehicle accident,As Samawah,Hamburg,Iowa,US,15851
206,206,5/26/2003,Private 1st Class,25,U.S. Army,Hostile,hostile fire - bomb,Baghdad,Odessa,Missouri,US,15851
207,203,5/26/2003,Sergeant,24,U.S. Army,Non-hostile,drowning,Kirkuk,Hilliard,Florida,US,15851
208,209,5/27/2003,Staff Sergeant,37,U.S. Army,Hostile,hostile fire,Fallujah,Tampa,Florida,US,15852
209,208,5/27/2003,Sergeant,34,U.S. Army,Hostile,hostile fire,Fallujah,Cannon City,Colorado,US,15852
210,210,5/28/2003,Staff Sergeant,39,U.S. Army,Non-hostile,illness,Ba  qubah,Utica,Mississippi,US,15853
211,211,5/28/2003,Specialist,22,U.S. Army,Hostile,hostile fire - ambush,Taji,San Diego,Texas,US,15853
212,214,5/30/2003,Specialist,20,U.S. Army,Non-hostile,vehicle accident,Mosul,Milton,Pennsylvania,US,15855
213,213,5/30/2003,Specialist,20,U.S. Army,Non-hostile,vehicle accident,Mosul,Emerson,New Jersey,US,15855
214,212,5/30/2003,Specialist,25,U.S. Army,Non-hostile,vehicle accident,Mosul,Warren,Pennsylvania,US,15855
215,215,6/1/2003,Sergeant,28,U.S. Marine,Non-hostile,vehicle accident,Ramadi,Newsite,Mississippi,US,15857
216,216,6/3/2003,Sergeant,27,U.S. Army,Hostile,hostile fire - RPG attack,Balad,Baldwin Park,California,US,15859
217,217,6/5/2003,Private 1st Class,20,U.S. Army,Hostile,hostile fire - RPG attack,Fallujah,Worthington,Ohio,US,15861
218,218,6/6/2003,Petty Officer 3rd Class,21,U.S. Navy,Non-hostile,ordnance accident,Al Kut,Poteau,Oklahoma,US,15862
219,219,6/6/2003,Sergeant,26,U.S. Army,Non-hostile,vehicle accident,Baghdad,Edina,Missouri,US,15862
220,220,6/6/2003,Petty Officer 3rd Class,21,U.S. Navy,Non-hostile,unspecified injury,Persian Gulf,Phoenix,Arizona,US,15862
221,221,6/7/2003,Private,19,U.S. Army,Hostile,hostile fire - RPG attack,Tikrit,Indianapolis,Indiana,US,15863
222,222,6/8/2003,Sergeant,23,U.S. Army,Hostile,hostile fire - small arms fire,Al Anbar Province,Pulaski,Virginia,US,15864
223,223,6/10/2003,Private 1st Class,20,U.S. Army,Hostile,hostile fire - RPG attack,Baghdad,Somerset,Ohio,US,15866
